Name,CardType,Rarity,Faction,Cost,Damage,Block,MagicNumber,Exhaust,Tags,Description,EffectIds,InherentEffectIds,IsColorless,IsFactionLocked,CardArtPath
不舍之盾,Skill,Basic,Frost,1,0,6,0,0,2,获得6点格挡。固有：不舍,ApplyBlockEffect,ReluctantInherentEffect,0,1,CardArt/不舍之盾
回响打击,Attack,Basic,Frost,1,7,0,0,0,2,造成7点伤害。固有：不舍,DealDamageEffect,ReluctantInherentEffect,0,1,CardArt/回响打击
执念,Power,Common,Frost,1,0,0,2,0,2,获得2点临时力量。固有：不舍,ApplyTemporaryStrengthEffect,ReluctantInherentEffect,0,1,CardArt/执念
轮回,Power,Uncommon,Frost,0,0,0,1,0,2,从弃牌堆回收1张不舍牌。固有：不舍,DrawReluctantFromDiscardEffect,ReluctantInherentEffect,0,1,CardArt/轮回
凝神,Power,Common,None,0,0,0,1,0,,下回合获得1点能量，抽1张牌,"GainEnergyNextTurnEffect,DrawCardsEffect",,0,0,CardArt/凝神
加固,Power,Basic,None,1,0,0,3,0,,获得3点敏捷,ApplyDexterityEffect,,0,0,CardArt/加固
后发制人,Power,Common,None,0,0,0,3,0,,检视牌堆顶3张牌，可按优先级排序,InspectEffect,,0,0,CardArt/后发制人
回春,Power,Common,None,0,0,0,4,0,,恢复4点HP,HealPlayerEffect,,0,0,CardArt/回春
守心,Power,Basic,None,1,0,5,1,0,,获得5点格挡，抽1张牌,"ApplyBlockEffect,DrawCardsEffect",,0,0,CardArt/守心
归元,Power,Common,None,1,0,5,5,0,,恢复5点HP，获得5点格挡,"HealPlayerEffect,ApplyBlockEffect",,0,0,CardArt/归元
惊雷,Attack,Common,None,2,12,0,0,1,,造成12点伤害。消耗,DealDamageEffect,,0,0,CardArt/惊雷
探索,Power,Common,None,1,0,0,3,0,,发现3张卡牌中选1张,DiscoverEffect,,0,0,CardArt/探索
攻击,Attack,Basic,None,1,6,0,0,0,,造成6点伤害,DealDamageEffect,,0,0,CardArt/攻击
斩缘,Attack,Common,None,2,14,0,0,1,,造成14点伤害。消耗,DealDamageEffect,,0,0,CardArt/斩缘
暮光仪式,Attack,Common,None,2,8,0,0,0,,造成8点伤害（手牌数≤3时伤害翻倍）,DealDamageEffect,,0,0,CardArt/暮光仪式
灵动,Power,Basic,None,1,0,0,3,0,,本回合减伤3点,DamageReductionEffect,,0,0,CardArt/灵动
玄甲,Skill,Basic,None,2,0,14,0,0,,获得14点格挡,ApplyBlockEffect,,0,0,CardArt/玄甲
痛击,Attack,Basic,None,1,8,0,1,0,,造成8点伤害，施加1层易伤,"DealDamageEffect,ApplyVulnerabilityEffect",,0,0,CardArt/痛击
破军,Attack,Uncommon,None,3,20,0,0,0,,造成20点伤害,DealDamageEffect,,0,0,CardArt/破军
破阵,Attack,Basic,None,1,8,0,0,0,,造成8点伤害,DealDamageEffect,,0,0,CardArt/破阵
礼物之力,Attack,Uncommon,None,1,10,0,1,0,,造成10点伤害，若牌堆顶为礼物牌则触发额外效果,"GiftEffect,DealDamageEffect",,0,0,CardArt/礼物之力
蓄势,Power,Common,None,0,0,0,2,0,,下回合获得2点能量,GainEnergyNextTurnEffect,,0,0,CardArt/蓄势
镇魂,Power,Basic,None,1,0,6,1,0,,获得6点格挡，抽1张牌,"ApplyBlockEffect,DrawCardsEffect",,0,0,CardArt/镇魂
防御,Skill,Basic,None,1,0,5,0,0,,获得5点格挡,ApplyBlockEffect,,0,0,CardArt/防御
预知,Power,Basic,None,0,0,0,3,0,,检视牌堆顶3张牌,InspectEffect,,0,0,CardArt/预知
预知仪式,Power,Common,None,0,0,0,2,0,,抽2张牌,DrawCardsEffect,,0,0,CardArt/预知仪式
冰封,Skill,Basic,Slime,1,0,10,0,0,4,获得10点格挡。挡转：每1能量=5HP,ApplyBlockEffect,,0,1,CardArt/冰封
冰霜之锤,Attack,Common,Slime,2,10,8,0,0,4,造成10点伤害，获得8点格挡。挡转：每1能量=5HP,"DealDamageEffect,ApplyBlockEffect",,0,1,CardArt/冰霜之锤
寒冰壁垒,Skill,Common,Slime,2,0,18,0,0,4,获得18点格挡。挡转：每1能量=4HP,ApplyBlockEffect,,0,1,CardArt/寒冰壁垒
寒枪,Attack,Common,Slime,2,12,0,0,0,4,造成12点伤害。挡转：每1能量=5HP,DealDamageEffect,,0,1,CardArt/寒枪
寒霜反击,Skill,Uncommon,Slime,3,0,20,3,0,4,获得20点格挡，获得3点荆棘。挡转：每1能量=6HP,"ApplyBlockEffect,ApplyThornsEffect",,0,1,CardArt/寒霜反击
霜甲,Skill,Basic,Slime,2,0,15,0,0,4,获得15点格挡。挡转：每1能量=4HP,ApplyBlockEffect,,0,1,CardArt/霜甲
冥想,Power,Common,None,1,0,0,2,0,,获得1点能量，抽2张牌,"GainEnergyEffect,DrawCardsEffect",,1,0,CardArt/冥想
古老符文,Power,Uncommon,None,0,0,0,2,0,,获得2点力量，获得2点敏捷,"GainStrengthEffect,ApplyDexterityEffect",,1,0,CardArt/古老符文
圣物,Power,Rare,None,2,0,6,6,0,,恢复6点HP，获得6点格挡。Legendary,"HealPlayerEffect,ApplyBlockEffect",,1,0,CardArt/圣物
宝藏,Power,Common,None,0,0,0,2,0,,获得2张随机卡牌,TreasureEffect,,1,0,CardArt/宝藏
深渊之眼,Power,Rare,None,2,0,0,3,0,,减伤3点，抽3张牌。Legendary,"DamageReductionEffect,DrawCardsEffect",,1,0,CardArt/深渊之眼
神秘卷轴,Power,Uncommon,None,1,0,0,3,0,,发现3张卡牌中选1张,DiscoverEffect,,1,0,CardArt/神秘卷轴
