Name,EffectClass,Description,ParamsJson
AbyssEvery4AttackEffect,AbyssEvery4AttackEffect,"每4次攻击伤害翻倍(阈值4,倍数2)","{""threshold"": ""4"", ""dmgMultiplier"": ""2""}"
AbyssReduceThresholdEffect,AbyssReduceThresholdEffect,,"{""reduce"": ""1""}"
AcidicCoreBoostedEffect,AcidicCoreBoostedEffect,,"{""extraStacks"": ""1""}"
AcidicCoreDebuff3StacksEffect,AcidicCoreDebuff3StacksEffect,战斗开始对敌施加3虚弱/3脆弱/3易伤debuff(Boss各+1层),"{""weak"": ""3"", ""frail"": ""3"", ""vulnerable"": ""3"", ""bossExtraStacks"": ""1""}"
AddCardToDeckEffect,AddCardToDeckEffect,向牌组添加随机腐化卡牌,"{""selectionMode"": ""3"", ""cardNameToAdd"": """", ""filterCardType"": ""0"", ""filterTag"": ""7"", ""filterRarity"": ""0"", ""count"": ""2"", ""location"": ""2"", ""showCardNameInDescription"": ""0""}"
AllStatsBuffEffect,MultiStatBuffEffect,全属性增益,"{""strength"": ""1"", ""dexterity"": ""1"", ""block"": ""10""}"
ApplyBlockEffect,ApplyBlockEffect,获得格挡,{}
ApplyDexterityEffect,GainBuffEffect,敏捷,"{""buffType"": ""1"", ""duration"": ""999"", ""useMagicNumber"": ""1"", ""amount"": ""3""}"
ApplyShadowStrengthEffect,GainBuffEffect,暗影临时力量,"{""buffType"": ""0"", ""duration"": ""-1"", ""isShadow"": ""1"", ""useMagicNumber"": ""1"", ""amount"": ""2""}"
ApplyTemporaryStrengthEffect,GainBuffEffect,临时力量,"{""buffType"": ""0"", ""magicNumberAsDuration"": ""1"", ""amount"": ""2"", ""duration"": ""-1""}"
ApplyThornsEffect,ApplyThornsEffect,施加荆棘,"{""thornsAmount"": ""3""}"
ApplyVulnerabilityEffect,ApplyVulnerabilityEffect,施加易伤,"{""vulnerabilityAmount"": ""1"", ""duration"": ""2""}"
ApplyWeakEffect,ApplyWeakEffect,施加虚弱,"{""weakAmount"": ""1"", ""duration"": ""2""}"
AttackHeal1Effect,HealPlayerEffect,,"{""onlyAttackCards"": ""1"", ""healAmount"": ""1""}"
BlockAndStrengthEffect,MultiStatBuffEffect,获得5点格挡和1点力量,"{""block"": ""5"", ""strength"": ""1""}"
BlockCostReductionEffect,BlockCostReductionEffect,永久格挡兑换比率降低1(少换血多得格挡),"{""rateReduction"": ""1""}"
BlockDiscountEffect,BlockDiscountEffect,本场战斗格挡兑换比率改为1:1,"{""overrideRate"": ""1""}"
BlockLockNextTurnEffect,BlockLockNextTurnEffect,2回合内无法获得任何格挡(计算归零),"{""duration"": ""2""}"
BlockToAttackEffect,BlockToAttackEffect,格挡转攻击,"{""multiplier"": ""2""}"
BloodAltarBoostedEffect,BloodAltarBoostedEffect,回复1生命并永久获得1点力量,"{""healthCostReduction"": ""1"", ""extraStrength"": ""1""}"
BloodAltarEffect,BloodAltarEffect,血祭坛,"{""healthCost"": ""3"", ""strengthGain"": ""2""}"
BloodCostReductionEffect,BloodCostReductionEffect,血量费减,"{""costReduction"": ""1""}"
BloodDiscountEffect,BloodDiscountEffect,本场战斗血祭兑换比率改为1:1(1血换1能量),"{""overrideRate"": ""1""}"
BloodPactStrengthEffect,BloodPactStrengthEffect,获得1点力量但最大生命值降低5点,"{""extraStr"": ""1"", ""loseMaxHp"": ""5""}"
BloodRageEffect,BloodRageEffect,血量越低伤害/力量越高，默认鲜血阈值3,"{""defaultBloodRate"": ""3""}"
BossBloodVeinEffect,BossBloodVeinEffect,"最大生命-5,并按当前最大生命50%获得永久力量","{""maxHp"": ""-5"", ""strengthPerMaxHp"": ""0.5""}"
BossCorruptLiverEffect,BossCorruptLiverEffect,Boss腐化肝脏激活:消耗牌时+1能量+1抽牌(字段1/1),"{""energyOnExhaust"": ""1"", ""drawOnExhaust"": ""1""}"
BossFrostHeartEffect,BossFrostHeartEffect,"永久1敏捷,冰霜牌格挡加成翻倍激活","{""dexterity"": ""1"", ""frostBonusBlock"": ""1""}"
BossReluctantChainEffect,BossReluctantChainEffect,Boss不舍链激活:不舍消耗/抽牌时回1生命(字段1),"{""hpOnExhaustDraw"": ""1""}"
BossSlimeGlandEffect,BossSlimeGlandEffect,Boss粘液腺体激活:粘液强化触发+3/debuff各+1层,"{""slimePerTurn"": ""3"", ""debuffStacks"": ""1""}"
ChessMasterEvery6CardsStrengthEffect,ChessMasterEvery6CardsStrengthEffect,,"{""threshold"": ""6"", ""strengthGain"": ""1""}"
CleanseDebuffEffect,CleanseDebuffEffect,清除所有虚弱/脆弱/易伤debuff(三项全清),"{""removeWeak"": ""1"", ""removeFrail"": ""1"", ""removeVulnerability"": ""1""}"
